Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_ContinuousObs/PPO_Extended_3
---------------------------------
| rollout/           |          |
|    entropy_loss         | -1.8         |
|    explained_variance   | 0.891        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.93e+03     |
|    n_updates            | 4850         |
|    policy_gradient_loss | -0.00544     |
|    std                  | 0.596        |
|    value_loss           | 6.81e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 159         |
|    ep_rew_mean          | 471         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 21          |
|    time_elapsed         | 4679        |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.004017852 |
|    clip_fraction        | 0.0321      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.919       |
|    learning_rate        | 0.0003      |
|    loss                 | 902         |
|    n_updates            | 4860        |
|    policy_gradient_loss | -0.00783    |
|    std                  | 0.594       |
|    value_loss           | 6.17e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 160         |
|    ep_rew_mean          | 461         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 22          |
|    time_elapsed         | 4902        |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.007727504 |
|    clip_fraction        | 0.0637      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.832       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.84e+03    |
|    n_updates            | 4870        |
|    policy_gradient_loss | -0.00907    |
|    std                  | 0.595       |
|    value_loss           | 4.89e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | 469         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 23          |
|    time_elapsed         | 5135        |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.005981605 |
|    clip_fraction        | 0.0595      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.943       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.41e+03    |
|    n_updates            | 4880        |
|    policy_gradient_loss | -0.00615    |
|    std                  | 0.594       |
|    value_loss           | 3.25e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 136         |
|    ep_rew_mean          | 492         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 24          |
|    time_elapsed         | 5361        |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.007520031 |
|    clip_fraction        | 0.0403      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.96e+03    |
|    n_updates            | 4890        |
|    policy_gradient_loss | -0.00794    |
|    std                  | 0.593       |
|    value_loss           | 8.2e+03     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 138          |
|    ep_rew_mean          | 477          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 25           |
|    time_elapsed         | 5584         |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0054175993 |
|    clip_fraction        | 0.0437       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.78        |
|    explained_variance   | 0.927        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.17e+03     |
|    n_updates            | 4900         |
|    policy_gradient_loss | -0.0103      |
|    std                  | 0.591        |
|    value_loss           | 3.95e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | 456         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 26          |
|    time_elapsed         | 5797        |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.003994126 |
|    clip_fraction        | 0.0241      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.91        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12e+03    |
|    n_updates            | 4910        |
|    policy_gradient_loss | -0.0065     |
|    std                  | 0.591       |
|    value_loss           | 5.5e+03     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 149        |
|    ep_rew_mean          | 451        |
| time/                   |            |
|    fps                  | 9          |
|    iterations           | 27         |
|    time_elapsed         | 6025       |
|    total_timesteps      | 55296      |
| train/                  |            |
|    approx_kl            | 0.00603187 |
|    clip_fraction        | 0.0564     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.78      |
|    explained_variance   | 0.847      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.35e+03   |
|    n_updates            | 4920       |
|    policy_gradient_loss | -0.00995   |
|    std                  | 0.59       |
|    value_loss           | 4.35e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 140         |
|    ep_rew_mean          | 502         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 28          |
|    time_elapsed         | 6252        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.007946006 |
|    clip_fraction        | 0.0899      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.77       |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0003      |
|    loss                 | 620         |
|    n_updates            | 4930        |
|    policy_gradient_loss | -0.00905    |
|    std                  | 0.588       |
|    value_loss           | 5.16e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 141         |
|    ep_rew_mean          | 532         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 29          |
|    time_elapsed         | 6474        |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.005640972 |
|    clip_fraction        | 0.0642      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.77       |
|    explained_variance   | 0.861       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.48e+03    |
|    n_updates            | 4940        |
|    policy_gradient_loss | -0.00827    |
|    std                  | 0.588       |
|    value_loss           | 7.29e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 146        |
|    ep_rew_mean          | 545        |
| time/                   |            |
|    fps                  | 9          |
|    iterations           | 30         |
|    time_elapsed         | 6699       |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.00815917 |
|    clip_fraction        | 0.074      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.77      |
|    explained_variance   | 0.963      |
|    learning_rate        | 0.0003     |
|    loss                 | 315        |
|    n_updates            | 4950       |
|    policy_gradient_loss | -0.00749   |
|    std                  | 0.585      |
|    value_loss           | 1.18e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 149          |
|    ep_rew_mean          | 516          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 31           |
|    time_elapsed         | 6925         |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0076849973 |
|    clip_fraction        | 0.0572       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.76        |
|    explained_variance   | 0.962        |
|    learning_rate        | 0.0003       |
|    loss                 | 318          |
|    n_updates            | 4960         |
|    policy_gradient_loss | -0.00898     |
|    std                  | 0.584        |
|    value_loss           | 1.45e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | 531         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 32          |
|    time_elapsed         | 7149        |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.004054619 |
|    clip_fraction        | 0.0496      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.75       |
|    explained_variance   | 0.944       |
|    learning_rate        | 0.0003      |
|    loss                 | 456         |
|    n_updates            | 4970        |
|    policy_gradient_loss | -0.00707    |
|    std                  | 0.583       |
|    value_loss           | 3.67e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 137          |
|    ep_rew_mean          | 561          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 33           |
|    time_elapsed         | 7374         |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0064597926 |
|    clip_fraction        | 0.0415       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.75        |
|    explained_variance   | 0.944        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.28e+03     |
|    n_updates            | 4980         |
|    policy_gradient_loss | -0.0082      |
|    std                  | 0.581        |
|    value_loss           | 3.3e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | 550         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 34          |
|    time_elapsed         | 7600        |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.009016778 |
|    clip_fraction        | 0.0616      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.75       |
|    explained_variance   | 0.954       |
|    learning_rate        | 0.0003      |
|    loss                 | 328         |
|    n_updates            | 4990        |
|    policy_gradient_loss | -0.00661    |
|    std                  | 0.582       |
|    value_loss           | 2.38e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 140         |
|    ep_rew_mean          | 519         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 35          |
|    time_elapsed         | 7825        |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.011372034 |
|    clip_fraction        | 0.0924      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | 209         |
|    n_updates            | 5000        |
|    policy_gradient_loss | -0.0125     |
|    std                  | 0.574       |
|    value_loss           | 863         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 139         |
|    ep_rew_mean          | 486         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 36          |
|    time_elapsed         | 8048        |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.007649173 |
|    clip_fraction        | 0.0625      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.72       |
|    explained_variance   | 0.939       |
|    learning_rate        | 0.0003      |
|    loss                 | 435         |
|    n_updates            | 5010        |
|    policy_gradient_loss | -0.0101     |
|    std                  | 0.573       |
|    value_loss           | 2.68e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 137          |
|    ep_rew_mean          | 493          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 37           |
|    time_elapsed         | 8276         |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0053375047 |
|    clip_fraction        | 0.0406       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.72        |
|    explained_variance   | 0.878        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.19e+03     |
|    n_updates            | 5020         |
|    policy_gradient_loss | -0.00777     |
|    std                  | 0.572        |
|    value_loss           | 6.71e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 133          |
|    ep_rew_mean          | 505          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 38           |
|    time_elapsed         | 8504         |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0055506555 |
|    clip_fraction        | 0.0621       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.72        |
|    explained_variance   | 0.967        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.46e+03     |
|    n_updates            | 5030         |
|    policy_gradient_loss | -0.00955     |
|    std                  | 0.574        |
|    value_loss           | 2e+03        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 130          |
|    ep_rew_mean          | 480          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 39           |
|    time_elapsed         | 8732         |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0063941823 |
|    clip_fraction        | 0.0523       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.72        |
|    explained_variance   | 0.897        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.14e+03     |
|    n_updates            | 5040         |
|    policy_gradient_loss | -0.00669     |
|    std                  | 0.571        |
|    value_loss           | 5.22e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 130          |
|    ep_rew_mean          | 499          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 40           |
|    time_elapsed         | 8960         |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0027331957 |
|    clip_fraction        | 0.039        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.71        |
|    explained_variance   | 0.916        |
|    learning_rate        | 0.0003       |
|    loss                 | 433          |
|    n_updates            | 5050         |
|    policy_gradient_loss | -0.00641     |
|    std                  | 0.572        |
|    value_loss           | 3.15e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | 486         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 41          |
|    time_elapsed         | 9186        |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.006735036 |
|    clip_fraction        | 0.0471      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.961       |
|    learning_rate        | 0.0003      |
|    loss                 | 337         |
|    n_updates            | 5060        |
|    policy_gradient_loss | -0.00857    |
|    std                  | 0.57        |
|    value_loss           | 1.98e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 123          |
|    ep_rew_mean          | 529          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 42           |
|    time_elapsed         | 9410         |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0043601333 |
|    clip_fraction        | 0.0488       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.71        |
|    explained_variance   | 0.922        |
|    learning_rate        | 0.0003       |
|    loss                 | 694          |
|    n_updates            | 5070         |
|    policy_gradient_loss | -0.00804     |
|    std                  | 0.572        |
|    value_loss           | 4.56e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | 574         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 43          |
|    time_elapsed         | 9637        |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.008488032 |
|    clip_fraction        | 0.0882      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0003      |
|    loss                 | 275         |
|    n_updates            | 5080        |
|    policy_gradient_loss | -0.00936    |
|    std                  | 0.571       |
|    value_loss           | 1.06e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 129         |
|    ep_rew_mean          | 525         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 44          |
|    time_elapsed         | 9863        |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.006664491 |
|    clip_fraction        | 0.0659      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.0003      |
|    loss                 | 708         |
|    n_updates            | 5090        |
|    policy_gradient_loss | -0.00796    |
|    std                  | 0.569       |
|    value_loss           | 3.61e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 127          |
|    ep_rew_mean          | 520          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 45           |
|    time_elapsed         | 10092        |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0060523385 |
|    clip_fraction        | 0.0356       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.7         |
|    explained_variance   | 0.91         |
|    learning_rate        | 0.0003       |
